fecha_extraccion,titular,tema,tokens,url,sentimiento
2026-01-25,Leonela Labra de Ahora Nación difundió una encuesta falsa que la coloca en primer lugar en Cusco,Otros,"['leonela', 'labra', 'ahora', 'nación', 'difundió', 'encuesta', 'falsa', 'coloca', 'primer', 'lugar', 'cusco']",https://larepublica.pe/verificador/2026/01/24/leonela-labra-de-ahora-nacion-difundio-una-encuesta-falsa-que-la-coloca-en-primer-lugar-en-cusco-1832424,NEG
2026-01-25,"Es falso que en el Perú no se explore ni explote petróleo, como señaló Pedro Cateriano",Otros,"['falso', 'perú', 'explore', 'explote', 'petróleo', 'señaló', 'pedro', 'cateriano']",https://larepublica.pe/verificador/2026/01/22/es-falso-que-en-el-peru-no-se-explore-ni-explote-petroleo-como-senalo-pedro-cateriano-803858,NEG
2026-01-25,Estados Unidos NO ha impuesto el dólar como moneda oficial en Venezuela: información difundida en redes carece de fuentes,Otros,"['unidos', 'impuesto', 'dólar', 'moneda', 'oficial', 'venezuela', 'información', 'difundida', 'redes', 'carece', 'fuentes']",https://larepublica.pe/verificador/2026/01/22/estados-unidos-no-ha-impuesto-el-dolar-como-moneda-oficial-en-venezuela-informacion-difundida-en-redes-carece-de-fuentes-995852,NEG
2026-01-25,"Rafael López Aliaga dijo que los Hospitales de la Solidaridad “tienen grado 5”, pero es falso",Rafael López Aliaga,"['rafael', 'lópez', 'aliaga', 'dijo', 'hospitales', 'solidaridad', 'grado', 'falso']",https://perucheck.pe/articles/verificadas/renovacion-popular/2026/01/23/rafael-lopez-aliaga-dijo-que-los-hospitales-de-la-solidaridad-tienen-grado-5-pero-es-falso-1424984,NEG
2026-01-25,Leonela Labra difunde encuesta fabricada que la pone en primer lugar en Cusco,Otros,"['leonela', 'labra', 'difunde', 'encuesta', 'fabricada', 'pone', 'primer', 'lugar', 'cusco']",https://perucheck.pe/articles/verificadas/ahora-nacion/2026/01/23/leonela-labra-difunde-encuesta-fabricada-que-la-pone-en-primer-lugar-en-cusco-2243098,NEU
2026-01-25,¿Lapiceros cuya tinta se borra después de votar?,Otros,"['cuya', 'tinta', 'borra', 'después', 'votar']",https://perucheck.pe/articles/verificadas/2026/01/22/lapiceros-cuya-tinta-se-borra-despues-de-votar-1761628,NEU
2026-01-25,"Es impreciso que casi la mitad del Perú no tenga Internet ni luz, como afirmó el candidato Paul Jaimes",Otros,"['impreciso', 'casi', 'mitad', 'perú', 'internet', 'luz', 'afirmó', 'candidato', 'paul', 'jaimes']",https://perucheck.pe/articles/verificadas/progresemos/2026/01/22/es-impreciso-que-casi-la-mitad-del-peru-no-tenga-internet-ni-luz-como-afirmo-el-candidato-paul-jaimes-1496616,NEG
2026-01-25,Elecciones en Perú:  ¿cuándo se celebrarán los comicios generales de abril 2026?,Otros,"['elecciones', 'perú', 'celebrarán', 'comicios', 'generales', 'abril']",https://larepublica.pe/politica/2025/03/25/dina-boluarte-convoca-elecciones-presidenciales-para-el-12-de-abril-de-2026-hnews-1996050,NEU
2026-01-25,¿Cándo es la fecha oficial de sorteo de miembros de mesa y de cuánto es el pago?,Otros,"['fecha', 'oficial', 'sorteo', 'miembros', 'mesa', 'cuánto', 'pago']",https://larepublica.pe/sociedad/2025/07/11/elecciones-generales-2026-cuando-es-la-fecha-oficial-de-sorteo-de-miembros-de-mesa-y-cual-sera-el-pago-717680,NEU
2026-01-25,¿Quiénes no podrán participar en la carrera electoral para llegar a Palacio de Gobierno?,Otros,"['podrán', 'participar', 'carrera', 'electoral', 'llegar', 'palacio', 'gobierno']",https://larepublica.pe/politica/2025/05/29/elecciones-2026-las-figuras-presidenciables-que-ya-no-podran-participar-en-la-carrera-electoral-para-llegar-a-palacio-de-gobierno-hnews-704613,NEG
